Player,SP (pre-vorp),G,PPG,RPG,APG,MPG,FGPG,HOF?,PARTIAL VORP,PPG*SP,RPG*SP,APG*SP,MPG*SP,FGPG*SP,GPS,Total SP
Ed Biedenbach,1,7,0.6,0.3,0.4,2.6,0,FALSE,,0.6,0.3,0.4,2.6,0,7.0,1
Butch Booker,1,12,5.8,7.6,0.5,18.4,2.5,FALSE,,5.8,7.6,0.5,18.4,2.5,12.0,1
Fred Brown,2,122,10.7,3.2,4.4,23.9,4.7,FALSE,22.6,10.7,3.2,4.4,23.9,4.7,61.0,13
Jack Coleman,9,633,10.6,9.2,2.8,33.1,4.4,FALSE,,10.6,9.2,2.8,33.1,4.4,70.3,9
Ed Conlin,7,486,10.1,4.8,2,23.4,3.8,FALSE,,10.1,4.8,2,23.4,3.8,69.4,7
Steve Courtin,1,24,4.2,0.9,0.9,13.2,1.8,FALSE,,4.2,0.9,0.9,13.2,1.8,24.0,1
Gary Gray,1,44,2.4,0.5,0.6,6.3,1.1,FALSE,,2.4,0.5,0.6,6.3,1.1,44.0,1
Dick Groat,1,26,11.9,3.3,2.7,25.5,3.8,FALSE,,11.9,3.3,2.7,25.5,3.8,26.0,1
Matt Guokas,7,522,5.9,2.2,3.2,22.7,3.4,FALSE,0.2,5.9,2.2,3.2,22.7,3.4,74.6,10
Tom Hagan,2,73,4.9,1.5,1.8,12.5,1.9,FALSE,,4.9,1.5,1.8,12.5,1.9,36.5,2
Skip Harlicka,1,26,4.1,0.6,1.4,8.4,1.6,FALSE,,4.1,0.6,1.4,8.4,1.6,26.0,1
Steve Kuberski,4,282,6.7,4.7,0.6,16.1,2.7,FALSE,-0.5,6.7,4.7,0.6,16.1,2.7,70.5,9
Wendell Ladner,3,211,13.4,9.4,2.1,27.9,5.7,FALSE,-0.6,13.4,9.4,2.1,27.9,5.7,70.3,5
John McConathy,1,11,1.3,1.8,0.7,9.6,0.4,FALSE,,1.3,1.8,0.7,9.6,0.4,11.0,1
Chuck Mencel,2,141,7,2.5,2.4,20,2.6,FALSE,,7,2.5,2.4,20,2.6,70.5,2
Bob Priddy,1,16,2.3,2.3,0.4,9.3,0.9,FALSE,,2.3,2.3,0.4,9.3,0.9,16.0,1
Rich Rinaldi,2,72,5.3,1.2,0.9,11.2,2.2,FALSE,-0.1,5.3,1.2,0.9,11.2,2.2,36.0,3
Sam Robinson,2,134,9.1,4.1,1.2,21.3,4,FALSE,,9.1,4.1,1.2,21.3,4,67.0,2
Glynn Saulters,1,22,2.7,0.9,0.5,5.5,1,FALSE,,2.7,0.9,0.5,5.5,1,22.0,1
Chico Vaughn,8,491,11.9,2.5,2.1,25.7,4.4,FALSE,,11.9,2.5,2.1,25.7,4.4,61.4,8
Kareem Abdul-Jabbar,4,321,31.4,15.8,4.2,42.6,12.9,TRUE,85.7,31.4,15.8,4.2,42.6,12.9,80.3,20
Jerry West,13,901,27.3,5.8,6.7,39.5,5.7,TRUE,1.6,27.3,5.8,6.7,39.5,5.7,69.3,14
Wilt Chamberlain,14,1045,30.1,22.9,4.4,45.8,12.1,TRUE,,30.1,22.9,4.4,45.8,12.1,74.6,14
Walt Frazier,6,466,19,6.2,6.5,37.2,7.3,TRUE,15.5,19,6.2,6.5,37.2,7.3,77.7,13
Bill Russell,13,963,15.1,22.5,4.3,42.3,5.9,TRUE,,15.1,22.5,4.3,42.3,5.9,74.1,13
Oscar Robertson,13,970,26.6,7.8,9.7,42.7,9.5,TRUE,1.2,26.6,7.8,9.7,42.7,9.5,74.6,14
Tiny Archibald,3,238,25.9,2.9,8.7,41.3,9.4,TRUE,12.9,25.9,2.9,8.7,41.3,9.4,79.3,13
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,15.55357143,,,,,,,,,,,